ORIGIN_CITY,DESTINATION_CITY,NUMBER_OF_FLIGHTS
Minneapolis,Baltimore,1039
Minneapolis,Bemidji,667
Minneapolis,Bentonville,466
Minneapolis,Billings,644
Minneapolis,Bismarck,1503
Minneapolis,Bloomington,70
Minneapolis,Boise,702
Minneapolis,Boston,1817
Minneapolis,Bozeman,689
Minneapolis,Brainerd,588
Minneapolis,Buffalo,195
Minneapolis,Cedar Rapids,682
Minneapolis,Charlotte,2130
Minneapolis,Chicago,9323
Minneapolis,Cincinnati,458
Minneapolis,Cleveland,688
Minneapolis,Columbus,468
Minneapolis,Dallas-Fort Worth,2575
Minneapolis,Dayton,572
Minneapolis,Denver,5508
Minneapolis,Des Moines,210
Minneapolis,Detroit,2645
Minneapolis,Dickinson,597
Minneapolis,Duluth,618
Minneapolis,Fairbanks,124
Minneapolis,Fargo,1718
Minneapolis,Flint,442
Minneapolis,Fort Lauderdale,611
Minneapolis,Fort Myers,915
Minneapolis,Fort Wayne,274
Minneapolis,Grand Forks,718
Minneapolis,Grand Rapids,1128
Minneapolis,Great Falls,305
Minneapolis,Green Bay,1055
Minneapolis,Helena,230
Minneapolis,Hibbing,568
Minneapolis,Honolulu,45
Minneapolis,Houston,1747
Minneapolis,Idaho Falls,19
Minneapolis,Indianapolis,902
Minneapolis,International Falls,243
Minneapolis,Iron Mountain,334
Minneapolis,Jacksn Hole,133
Minneapolis,Jacksonville,184
Minneapolis,Kalamazoo,120
Minneapolis,Kalispell,204
Minneapolis,Kansas City,1897
Minneapolis,La Crosse,493
Minneapolis,Lansing,518
Minneapolis,Las Vegas,2545
Minneapolis,Lexington KY,55
Minneapolis,Lincoln,382
Minneapolis,Los Angeles,3093
Minneapolis,Louisville,100
Minneapolis,Madison,1233
Minneapolis,Memphis,428
Minneapolis,Miami,846
Minneapolis,Milwaukee,2204
Minneapolis,Minot,830
Minneapolis,Missoula,430
Minneapolis,Moline,58
Minneapolis,Nashville,1076
Minneapolis,New Orleans,330
Minneapolis,New York,2966
Minneapolis,Newark,1368
Minneapolis,Norfolk,93
Minneapolis,Oklahoma City,371
Minneapolis,Omaha,1286
Minneapolis,Orlando,1588
Minneapolis,Palm Springs,155
Minneapolis,Pasco,259
Minneapolis,Peoria,20
Minneapolis,Philadelphia,2372
Minneapolis,Phoenix,4052
Minneapolis,Pittsburgh,481
Minneapolis,Portland,1292
Minneapolis,Raleigh-durham,425
Minneapolis,Rapid City,1326
Minneapolis,Reno,29
Minneapolis,Rhinelander,667
Minneapolis,Richmond,328
Minneapolis,Rochester,528
Minneapolis,Sacramento,541
Minneapolis,Saginaw,79
Minneapolis,Salt Lake City,1850
Minneapolis,San Antonio,236
Minneapolis,San Diego,1071
Minneapolis,San Francisco,2446
Minneapolis,San Jose,458
Minneapolis,San Juan,46
Minneapolis,Santa Ana,916
Minneapolis,Seattle,2549
Minneapolis,Sioux Falls,1285
Minneapolis,South Bend,553
Minneapolis,Spokane,770
Minneapolis,St. Louis,2273
Minneapolis,Syracuse,172
Minneapolis,Tampa,1070
Minneapolis,Traverse City,110
Minneapolis,Trenton,157
Minneapolis,Tucson,179
Minneapolis,Tulsa,434
Minneapolis,Vail,1
Minneapolis,Washington,2246
Minneapolis,Wassau,25
Minneapolis,Wichita,634
Minneapolis,Williston,1063
Minneapolis,Windsor Locks,852
Minot,Denver,1020
Minot,Minneapolis,830
Missoula,Atlanta,15
Missoula,Butte,1
Missoula,Chicago,2
Missoula,Denver,567
Missoula,Minneapolis,428
Missoula,Salt Lake City,1004
Missoula,San Francisco,47
Missoula,Seattle,13
Moab,Salt Lake City,206
Mobile,Atlanta,2253
Mobile,Chicago,288
Mobile,Dallas-Fort Worth,964
Mobile,Houston,1513
Moline,Atlanta,760
Moline,Chicago,1615
Moline,Dallas-Fort Worth,940
Moline,Denver,187
Moline,Detroit,210
Moline,Minneapolis,65
Monroe,Atlanta,1209
Monroe,Dallas-Fort Worth,959
Monroe,Houston,793
Monterey,Los Angeles,1529
Monterey,Phoenix,628
Monterey,San Francisco,817
Montrose CO,Atlanta,35
Montrose CO,Chicago,118
Montrose CO,Dallas-Fort Worth,95
Montrose CO,Denver,461
Montrose CO,Houston,171
Montrose CO,Los Angeles,29
Montrose CO,New York,2
Montrose CO,Newark,23
Montrose CO,Phoenix,38
Montrose CO,San Francisco,29
Muskegon,Chicago,667
Myrtle Beach,Atlanta,1420
Myrtle Beach,Atlantic City,334
Myrtle Beach,Baltimore,202
Myrtle Beach,Boston,334
Myrtle Beach,Charleston,64
Myrtle Beach,Charlotte,6
Myrtle Beach,Chicago,242
Myrtle Beach,Cleveland,169
Myrtle Beach,Dallas-Fort Worth,63
Myrtle Beach,Detroit,387
Myrtle Beach,Fort Lauderdale,376
Myrtle Beach,Latrobe,197
Myrtle Beach,New York,668
Myrtle Beach,Newark,8
Myrtle Beach,Niagara Falls,116
Myrtle Beach,Philadelphia,194
Myrtle Beach,Plattsburgh,51
Nantucket,Boston,118
Nantucket,New York,333
Nantucket,Washington,41
Nashville,Atlanta,3231
Nashville,Austin,627
Nashville,Baltimore,1883
Nashville,Boston,638
Nashville,Charleston,349
Nashville,Charlotte,1292
Nashville,Chicago,5578
Nashville,Cincinnati,314
Nashville,Cleveland,795
Nashville,Columbus,639
Nashville,Dallas,904
Nashville,Dallas-Fort Worth,2750
Nashville,Denver,2008
Nashville,Detroit,2047
Nashville,Fort Lauderdale,781
Nashville,Fort Myers,105
Nashville,Houston,2529
Nashville,Jacksonville,901
Nashville,Kansas City,1080
Nashville,Las Vegas,891
Nashville,Los Angeles,1637
Nashville,Miami,52
Nashville,Minneapolis,988
Nashville,Mobile,1
Nashville,New Orleans,1037
Nashville,New York,2806
Nashville,Newark,1853
Nashville,Oakland,177
Nashville,Orlando,1426
Nashville,Panama City,594
Nashville,Pensacola,599
Nashville,Philadelphia,632
Nashville,Phoenix,733
Nashville,Pittsburgh,334
Nashville,Raleigh-durham,993
Nashville,Salt Lake City,346
Nashville,San Antonio,574
Nashville,San Diego,388
Nashville,Seattle,185
Nashville,St. Louis,627
Nashville,Tampa,1230
Nashville,Trenton,2
Nashville,Washington,1024
New Bern,Atlanta,575
New Orleans,Atlanta,5593
New Orleans,Austin,344
New Orleans,Baltimore,814
New Orleans,Boston,334
New Orleans,Charlotte,1471
New Orleans,Chicago,2227
New Orleans,Columbus,1
New Orleans,Dallas,2408
New Orleans,Dallas-Fort Worth,2634
New Orleans,Denver,1584
New Orleans,Detroit,979
New Orleans,Fort Lauderdale,932
New Orleans,Houston,5733
New Orleans,Kansas City,333
New Orleans,Las Vegas,705
New Orleans,Los Angeles,1850
New Orleans,Miami,622
New Orleans,Milwaukee,109
New Orleans,Minneapolis,329
New Orleans,Nashville,1048
New Orleans,New York,1576
New Orleans,Newark,1094
New Orleans,Oakland,177
New Orleans,Orlando,1141
New Orleans,Philadelphia,361
New Orleans,Phoenix,394
New Orleans,Salt Lake City,304
New Orleans,San Antonio,240
New Orleans,San Diego,334
New Orleans,San Francisco,214
New Orleans,Seattle,334
New Orleans,St. Louis,571
New Orleans,Tampa,984
New Orleans,Washington,1030
New York,Aguadilla,446
New York,Akron,500
New York,Albuquerque,274
New York,Atlanta,10128
New York,Austin,1588
New York,Baltimore,333
New York,Bangor,56
New York,Barnstable,83
New York,Bentonville,514
New York,Birmingham,490
New York,Boston,12140
New York,Bozeman,10
New York,Buffalo,2850
New York,Burbank,334
New York,Burlington,1068
New York,Bush Field,1
New York,Charleston,1350
New York,Charlotte,6234
New York,Charlottesville VA,395
New York,Chicago,13432
New York,Cincinnati,442
New York,Cleveland,2996
New York,Columbia,423
New York,Columbus,2008
New York,Dallas,2563
New York,Dallas-Fort Worth,5079
New York,Dayton,403
New York,Denver,4101
New York,Des Moines,1
New York,Detroit,4709
New York,Fort Lauderdale,9743
New York,Fort Myers,1993
New York,Grand Rapids,224
New York,Greensboro,1295
New York,Greenville,4
New York,Honolulu,314
New York,Houston,3564
New York,Indianapolis,310
New York,Jacksn Hole,4
New York,Jacksonville,1060
New York,Kansas City,716
New York,Key West,1
New York,Knoxville,73
New York,Las Vegas,3703
New York,Lexington KY,42
New York,Little Rock,74
New York,Long Beach,612
New York,Los Angeles,12016
New York,Louisville,297
New York,Madison,151
New York,Manchester NH,140
New York,Memphis,35
New York,Miami,9902
New York,Milwaukee,1214
New York,Minneapolis,2987
New York,Montrose CO,2
New York,Myrtle Beach,667
New York,Nantucket,333
New York,Nashville,2725
New York,New Orleans,1571
New York,Norfolk,641
New York,Oakland,284
New York,Omaha,138
New York,Orlando,9262
New York,Palm Springs,32
New York,Philadelphia,183
New York,Phoenix,2326
New York,Pittsburgh,341
New York,Ponce,334
New York,Portland,2088
New York,Raleigh-durham,3552
New York,Reno,169
New York,Richmond,1383
New York,Rochester,1283
New York,Sacramento,282
New York,Salt Lake City,1839
New York,San Antonio,263
New York,San Diego,1710
New York,San Francisco,8437
New York,San Jose,296
New York,San Juan,4463
New York,Sarasota,767
New York,Savannah,1112
New York,Seattle,2094
New York,St. Louis,1636
New York,St. Thomas,548
New York,Syracuse,1091
New York,Tampa,4497
New York,Traverse City,46
New York,Vail,110
New York,Vineyard Haven MA,121
New York,Washington,6461
New York,West Palm Beach,4817
New York,Wilmington,87
Newark,Aguadilla,291
Newark,Akron,117
Newark,Albany,170
Newark,Anchorage,7
Newark,Asheville,174
Newark,Atlanta,5097
Newark,Austin,925
Newark,Baltimore,251
Newark,Bentonville,229
Newark,Boston,4442
Newark,Bozeman,50
Newark,Buffalo,533
Newark,Burlington,561
Newark,Charleston,1275
Newark,Charlotte,4145
Newark,Chicago,5528
Newark,Cincinnati,1515
Newark,Cleveland,1593
Newark,Columbus,912
Newark,Dallas-Fort Worth,2604
Newark,Dayton,754
Newark,Denver,2643
Newark,Des Moines,212
Newark,Detroit,2173
Newark,Fort Lauderdale,3440
Newark,Fort Myers,1380
Newark,Grand Rapids,364
Newark,Greensboro,862
Newark,Greenville,687
Newark,Hayden,17
Newark,Honolulu,330
Newark,Houston,4210
Newark,Indianapolis,1224
Newark,Jacksn Hole,40
Newark,Jacksonville,1020
Newark,Kansas City,659
Newark,Knoxville,298
Newark,Las Vegas,1707
Newark,Los Angeles,4603
Newark,Louisville,631
Newark,Madison,326
Newark,Manchester NH,701
Newark,Memphis,1020
Newark,Miami,2715
Newark,Milwaukee,1090
Newark,Minneapolis,1314
Newark,Montrose CO,23
Newark,Myrtle Beach,8
Newark,Nashville,1948
Newark,New Orleans,1095
Newark,New York,1
Newark,Norfolk,679
Newark,Oklahoma City,161
Newark,Omaha,579
Newark,Orlando,4774
Newark,Philadelphia,2
Newark,Phoenix,2103
Newark,Pittsburgh,433
Newark,Portland,914
Newark,Providence,396
Newark,Raleigh-durham,913
Newark,Richmond,967
Newark,Rochester,747
Newark,Salt Lake City,292
Newark,San Antonio,257
Newark,San Diego,983
Newark,San Francisco,5029
Newark,San Juan,1194
Newark,Santa Ana,736
Newark,Sarasota,98
Newark,Savannah,662
Newark,Scranton,53
Newark,Seattle,1491
Newark,South Bend,327
Newark,St. Louis,1806
Newark,St. Thomas,239
Newark,Syracuse,502
Newark,Tampa,2110
Newark,Traverse City,28
Newark,Tulsa,4
Newark,Vail,111
Newark,Washington,2253
Newark,West Palm Beach,2571
Newark,Windsor Locks,444
Newburgh,Detroit,21
Newburgh,Fort Lauderdale,334
Newburgh,Fort Myers,1
Newburgh,New York,1
Newburgh,Orlando,334
Newburgh,Tampa,2
Newburgh,West Palm Beach,2
Newport News,Atlanta,1260
Newport News,Denver,3
Niagara Falls,Fort Lauderdale,206
Niagara Falls,Myrtle Beach,116
Nome,Anchorage,616
Nome,Kotzebue,47
Norfolk,Atlanta,2673
Norfolk,Baltimore,1144
Norfolk,Charlotte,603
Norfolk,Chicago,1371
Norfolk,Dallas-Fort Worth,631
Norfolk,Detroit,645
Norfolk,Houston,301
Norfolk,Miami,240
Norfolk,Minneapolis,94
Norfolk,New York,528
Norfolk,Newark,627
Norfolk,Orlando,432
Norfolk,Tampa,9
Norfolk,Washington,76
North Bend,Denver,27
North Bend,San Francisco,248
Oakland,Albuquerque,796
Oakland,Atlanta,64
Oakland,Austin,336
Oakland,Baltimore,324
Oakland,Boise,659
Oakland,Boston,102
Oakland,Burbank,3734
Oakland,Chicago,1332
Oakland,Columbus,114
Oakland,Dallas,593
Oakland,Dallas-Fort Worth,335
Oakland,Denver,1252
Oakland,Fort Lauderdale,1
Oakland,Honolulu,522
Oakland,Houston,811
Oakland,Kahului,668
Oakland,Kansas City,296
Oakland,Kona,335
Oakland,Las Vegas,3493
Oakland,Lihue,191
Oakland,Long Beach,1002
Oakland,Los Angeles,6281
Oakland,Nashville,177
Oakland,New Orleans,177
Oakland,New York,285
Oakland,Ontario,2144
Oakland,Phoenix,2532
Oakland,Portland,1779
Oakland,Salt Lake City,2116
Oakland,San Diego,3540
Oakland,Santa Ana,2471
Oakland,Seattle,3221
Oakland,Spokane,633
Oklahoma City,Atlanta,1976
Oklahoma City,Baltimore,334
Oklahoma City,Chicago,2144
Oklahoma City,Dallas,923
Oklahoma City,Dallas-Fort Worth,2711
Oklahoma City,Denver,1754
Oklahoma City,Detroit,328
Oklahoma City,Fort Lauderdale,1
Oklahoma City,Houston,2284
Oklahoma City,Las Vegas,667
Oklahoma City,Los Angeles,316
Oklahoma City,Miami,1
Oklahoma City,Minneapolis,372
Oklahoma City,Newark,159
Oklahoma City,Phoenix,657
Oklahoma City,Salt Lake City,607
Oklahoma City,San Francisco,333
Oklahoma City,Seattle,153
Oklahoma City,St. Louis,418
Oklahoma City,Washington,6
Omaha,Atlanta,1552
Omaha,Chicago,3681
Omaha,Dallas,114
Omaha,Dallas-Fort Worth,1363
Omaha,Denver,2083
Omaha,Detroit,720
Omaha,Houston,1166
Omaha,Las Vegas,833
Omaha,Los Angeles,63
Omaha,Minneapolis,1271
Omaha,New York,140
Omaha,Newark,619
Omaha,Orlando,133
Omaha,Phoenix,1249
Omaha,Portland,1
Omaha,Salt Lake City,488
Omaha,San Francisco,1
Omaha,Seattle,335
Omaha,St. Louis,940
Omaha,Washington,1
Ontario,Atlanta,3
Ontario,Chicago,325
Ontario,Dallas-Fort Worth,1441
Ontario,Denver,1176
Ontario,Houston,473
Ontario,Las Vegas,1372
Ontario,Oakland,2127
Ontario,Phoenix,2971
Ontario,Portland,723
Ontario,Sacramento,2024
Ontario,Salt Lake City,940
Ontario,San Francisco,2174
Ontario,San Jose,1329
Ontario,Seattle,900
Orlando,Aguadilla,441
Orlando,Akron,546
Orlando,Albany,681
Orlando,Albuquerque,99
Orlando,Atlanta,8202
Orlando,Atlantic City,794
Orlando,Austin,999
Orlando,Baltimore,3120
Orlando,Birmingham,658
Orlando,Bloomington,34
Orlando,Boston,2848
Orlando,Buffalo,1521
Orlando,Charlotte,2957
Orlando,Chicago,7003
Orlando,Cincinnati,890
Orlando,Cleveland,1383
Orlando,Columbus,1049
Orlando,Dallas,1017
Orlando,Dallas-Fort Worth,3825
Orlando,Dayton,348
Orlando,Denver,2882
Orlando,Detroit,2634
Orlando,Flint,339
Orlando,Fort Lauderdale,668
Orlando,Grand Rapids,306
Orlando,Harrisburg,85
Orlando,Houston,4034
Orlando,Indianapolis,1283
Orlando,Islip,1065
Orlando,Kansas City,907
Orlando,Las Vegas,941
Orlando,Latrobe,318
Orlando,Los Angeles,2414
Orlando,Louisville,367
Orlando,Madison,17
Orlando,Manchester NH,700
Orlando,Memphis,383
Orlando,Miami,3034
Orlando,Milwaukee,1255
Orlando,Minneapolis,1586
Orlando,Nashville,1412
Orlando,New Orleans,1152
Orlando,New York,9262
Orlando,Newark,4790
Orlando,Newburgh,334
Orlando,Norfolk,432
Orlando,Omaha,133
Orlando,Philadelphia,4867
Orlando,Phoenix,1287
Orlando,Pittsburgh,1464
Orlando,Ponce,417
Orlando,Portland,7
Orlando,Providence,2032
Orlando,Raleigh-durham,978
Orlando,Richmond,685
Orlando,Rochester,395
Orlando,Salt Lake City,1239
Orlando,San Antonio,496
Orlando,San Diego,505
Orlando,San Francisco,799
Orlando,San Juan,3550
Orlando,Seattle,440
Orlando,St. Louis,1529
Orlando,Syracuse,335
Orlando,Trenton,486
Orlando,Washington,5007
Orlando,White Plains,1246
Orlando,Wilmington,64
Orlando,Windsor Locks,1672
Orlando,Worcester,334
PADUCAH,Chicago,666
Pago Pago,Honolulu,107
Palm Springs,Chicago,344
Palm Springs,Dallas-Fort Worth,724
Palm Springs,Denver,985
Palm Springs,Houston,287
Palm Springs,Los Angeles,729
Palm Springs,Minneapolis,155
Palm Springs,New York,32
Palm Springs,Phoenix,1722
Palm Springs,Portland,278
Palm Springs,Salt Lake City,747
Palm Springs,San Francisco,2145
Palm Springs,Seattle,839
Panama City,Atlanta,2020
Panama City,Baltimore,209
Panama City,Dallas,152
Panama City,Houston,1031
Panama City,Nashville,593
Panama City,St. Louis,164
Pasco,Denver,703
Pasco,Minneapolis,259
Pasco,Salt Lake City,931
Pasco,San Francisco,364
Pasco,Seattle,176
Pellston,Detroit,752
Pellston,Sault Ste Marie,1
Pensacola,Atlanta,2268
Pensacola,Chicago,253
Pensacola,Dallas-Fort Worth,1156
Pensacola,Houston,1753
Pensacola,Miami,496
Pensacola,Nashville,598
Pensacola,Washington,10
Peoria,Atlanta,898
Peoria,Chicago,2180
Peoria,Dallas-Fort Worth,929
Peoria,Denver,5
Peoria,Detroit,371
Peoria,Houston,262
Peoria,Minneapolis,19
Petersburg,Juneau,332
Petersburg,Wrangell,332
Philadelphia,Atlanta,6621
Philadelphia,Austin,268
Philadelphia,Baltimore,7
Philadelphia,Boston,5317
Philadelphia,Charleston,11
Philadelphia,Charlotte,3103
Philadelphia,Chicago,6651
Philadelphia,Cleveland,104
Philadelphia,Dallas,114
Philadelphia,Dallas-Fort Worth,3625
Philadelphia,Denver,2142
Philadelphia,Detroit,1999
Philadelphia,Fort Lauderdale,1907
Philadelphia,Fort Myers,960
Philadelphia,Houston,2176
Philadelphia,Indianapolis,421
Philadelphia,Jacksonville,384
Philadelphia,Las Vegas,2148
Philadelphia,Los Angeles,1886
Philadelphia,Miami,2661
Philadelphia,Minneapolis,2365
Philadelphia,Myrtle Beach,194
Philadelphia,Nashville,630
Philadelphia,New Orleans,359
Philadelphia,New York,226
Philadelphia,Orlando,4869
Philadelphia,Phoenix,2411
Philadelphia,Pittsburgh,883
Philadelphia,Portland,147
Philadelphia,Providence,284
Philadelphia,Raleigh-durham,854
Philadelphia,Richmond,6
Philadelphia,Sacramento,75
Philadelphia,Salt Lake City,616
Philadelphia,San Antonio,231
Philadelphia,San Diego,794
Philadelphia,San Francisco,2072
Philadelphia,San Juan,1028
Philadelphia,Seattle,990
Philadelphia,St. Louis,610
Philadelphia,St. Thomas,227
Philadelphia,Tampa,2425
Philadelphia,Washington,106
Philadelphia,West Palm Beach,1110
Philadelphia,Windsor Locks,4
Phoenix,Albuquerque,2454
Phoenix,Anchorage,393
Phoenix,Atlanta,3644
Phoenix,Austin,1581
Phoenix,Bakersfield,875
Phoenix,Baltimore,1603
Phoenix,Boise,1089
Phoenix,Boston,1431
Phoenix,Buffalo,334
Phoenix,Burbank,1884
Phoenix,Charlotte,2808
Phoenix,Chicago,6672
Phoenix,Cincinnati,96
Phoenix,Cleveland,726
Phoenix,Columbus,1052
Phoenix,Dallas,1457
Phoenix,Dallas-Fort Worth,4146
Phoenix,Denver,7204
Phoenix,Des Moines,204
Phoenix,Detroit,2717
Phoenix,Durango,699
Phoenix,El Paso,1450
Phoenix,Flagstaff,1660
Phoenix,Fort Lauderdale,673
Phoenix,Fresno,471
Phoenix,Grand Junction,993
Phoenix,Honolulu,1137
Phoenix,Houston,4669
Phoenix,Indianapolis,1306
Phoenix,Kahului,556
Phoenix,Kansas City,1825
Phoenix,Kona,288
Phoenix,Las Vegas,5499
Phoenix,Lihue,343
Phoenix,Little Rock,334
Phoenix,Long Beach,1
Phoenix,Los Angeles,7380
Phoenix,Louisville,334
Phoenix,Manchester NH,1
Phoenix,Miami,618
Phoenix,Milwaukee,1409
Phoenix,Minneapolis,4058
Phoenix,Monterey,629
Phoenix,Montrose CO,38
Phoenix,Nashville,731
Phoenix,New Orleans,398
Phoenix,New York,2327
Phoenix,Newark,2106
Phoenix,Oakland,2512
Phoenix,Oklahoma City,657
Phoenix,Omaha,1258
Phoenix,Ontario,2978
Phoenix,Orlando,1284
Phoenix,Palm Springs,1722
Phoenix,Philadelphia,2449
Phoenix,Pittsburgh,978
Phoenix,Portland,3102
Phoenix,Raleigh-durham,259
Phoenix,Reno,1718
Phoenix,Sacramento,3160
Phoenix,Salt Lake City,5485
Phoenix,San Antonio,1549
Phoenix,San Diego,5105
Phoenix,San Francisco,4863
Phoenix,San Jose,3102
Phoenix,San Luis Obispo,717
Phoenix,Santa Ana,3842
Phoenix,Santa Barbara,1027
Phoenix,Seattle,5770
Phoenix,Spokane,922
Phoenix,St. Louis,2121
Phoenix,Tampa,998
Phoenix,Tucson,1155
Phoenix,Tulsa,590
Phoenix,Washington,1311
Phoenix,Yuma,1878
Pittsburgh,Atlanta,3251
Pittsburgh,Baltimore,946
Pittsburgh,Boston,1158
Pittsburgh,Charlotte,2414
Pittsburgh,Chicago,3562
Pittsburgh,Cincinnati,7
Pittsburgh,Dallas,114
Pittsburgh,Dallas-Fort Worth,1422
Pittsburgh,Denver,1009
Pittsburgh,Detroit,435
Pittsburgh,Fort Lauderdale,769
Pittsburgh,Fort Myers,444
Pittsburgh,Houston,1234
Pittsburgh,Las Vegas,598
Pittsburgh,Los Angeles,255
Pittsburgh,Minneapolis,546
Pittsburgh,Nashville,334
Pittsburgh,New York,465
Pittsburgh,Newark,428
Pittsburgh,Orlando,1473
Pittsburgh,Philadelphia,929
Pittsburgh,Phoenix,977
Pittsburgh,San Francisco,266
Pittsburgh,Tampa,848
Pittsburgh,Washington,229
Pittsburgh,West Palm Beach,5
Plattsburgh,Fort Lauderdale,230
Plattsburgh,Myrtle Beach,51
Pocatello,Salt Lake City,654
Ponce,New York,333
Ponce,Orlando,416
Portland,Albuquerque,228
Portland,Anchorage,913
Portland,Atlanta,1701
Portland,Austin,99
Portland,Baltimore,1061
Portland,Boise,61
Portland,Boston,491
Portland,Bozeman,116
Portland,Burbank,958
Portland,Charlotte,590
Portland,Chicago,3082
Portland,Dallas,237
Portland,Dallas-Fort Worth,1834
Portland,Denver,3423
Portland,Detroit,737
Portland,Fresno,101
Portland,Honolulu,714
Portland,Houston,837
Portland,Kahului,580
Portland,Kansas City,333
Portland,Kona,177
Portland,Las Vegas,2566
Portland,Lihue,101
Portland,Long Beach,750
Portland,Los Angeles,3279
Portland,Minneapolis,1290
Portland,New York,2094
Portland,Newark,996
Portland,Oakland,1793
Portland,Ontario,723
Portland,Orlando,7
Portland,Palm Springs,278
Portland,Philadelphia,146
Portland,Phoenix,3098
Portland,Sacramento,1597
Portland,Salt Lake City,2339
Portland,San Diego,1691
Portland,San Francisco,4179
Portland,San Jose,2248
Portland,Santa Ana,1146
Portland,Santa Barbara,334
Portland,Seattle,1849
Portland,St. Louis,153
Portland,Tucson,218
Portland,Washington,618
Providence,Atlanta,947
Providence,Baltimore,2517
Providence,Charlotte,1053
Providence,Chicago,1432
Providence,Detroit,799
Providence,Fort Lauderdale,786
Providence,Fort Myers,49
Providence,Newark,357
Providence,Orlando,2023
Providence,Philadelphia,282
Providence,Tampa,676
Providence,Washington,105
Providence,West Palm Beach,32
Pueblo,Denver,264
Raleigh-durham,Atlanta,4712
Raleigh-durham,Baltimore,1952
Raleigh-durham,Boston,1526
Raleigh-durham,Charlotte,2128
Raleigh-durham,Chicago,3019
Raleigh-durham,Cincinnati,6
Raleigh-durham,Cleveland,389
Raleigh-durham,Dallas,114
Raleigh-durham,Dallas-Fort Worth,1611
Raleigh-durham,Denver,901
Raleigh-durham,Detroit,998
Raleigh-durham,Fort Lauderdale,626
Raleigh-durham,Houston,1021
Raleigh-durham,Indianapolis,1
Raleigh-durham,Las Vegas,334
Raleigh-durham,Los Angeles,803
Raleigh-durham,Miami,1016
Raleigh-durham,Minneapolis,501
Raleigh-durham,Nashville,997
Raleigh-durham,New York,3475
Raleigh-durham,Newark,860
Raleigh-durham,Newport News,1
Raleigh-durham,Orlando,979
Raleigh-durham,Philadelphia,855
Raleigh-durham,Phoenix,258
Raleigh-durham,San Francisco,518
Raleigh-durham,Seattle,61
Raleigh-durham,St. Louis,487
Raleigh-durham,Tampa,869
Raleigh-durham,Trenton,278
Raleigh-durham,Washington,411
Raleigh-durham,Windsor Locks,189
Rapid City,Atlanta,15
Rapid City,Chicago,397
Rapid City,Dallas-Fort Worth,522
Rapid City,Denver,563
Rapid City,Houston,25
Rapid City,Jamestown,1
Rapid City,Minneapolis,1322
Rapid City,Salt Lake City,420
Redding,San Francisco,727
Redmond-Bend,Denver,480
Redmond-Bend,Los Angeles,240
Redmond-Bend,Salt Lake City,598
Redmond-Bend,San Francisco,834
Reno,Chicago,592
Reno,Dallas-Fort Worth,748
Reno,Denver,1364
Reno,Houston,32
Reno,Las Vegas,3218
Reno,Los Angeles,1901
Reno,Minneapolis,29
Reno,New York,169
Reno,Phoenix,1723
Reno,Salt Lake City,953
Reno,San Diego,669
Reno,San Francisco,1613
Rhinelander,Iron Mountain,287
Rhinelander,Minneapolis,667
Richmond,Atlanta,3572
Richmond,Boston,2297
Richmond,Charlotte,1350
Richmond,Chicago,2088
Richmond,Cincinnati,1
Richmond,Columbia,1
Richmond,Dallas-Fort Worth,806
Richmond,Detroit,877
Richmond,Fort Lauderdale,334
Richmond,Houston,526
Richmond,Miami,51
Richmond,Minneapolis,328
Richmond,New York,1381
Richmond,Newark,1015
Richmond,Orlando,685
Richmond,Philadelphia,6
Richmond,Washington,37
Roanoke VA,Atlanta,1496
Roanoke VA,Chicago,781
Roanoke VA,Washington,5
Rochester,Atlanta,1289
Rochester,Baltimore,724
Rochester,Charlotte,310
Rochester,Chicago,3506
Rochester,Cleveland,1
Rochester,Detroit,306
Rochester,Minneapolis,529
Rochester,New York,1291
Rochester,Newark,725
Rochester,Orlando,394
Rochester,Tampa,313
Rochester,Washington,114
Rock Springs,Denver,632
Rock Springs,Gillette,27
Rock Springs,Salt Lake City,31
Roswell,Dallas-Fort Worth,974
Sacramento,Atlanta,556
Sacramento,Boston,49
Sacramento,Burbank,2092
Sacramento,Charlotte,194
Sacramento,Chicago,947
Sacramento,Dallas,237
Sacramento,Dallas-Fort Worth,1326
Sacramento,Denver,2391
Sacramento,Honolulu,334
Sacramento,Houston,647
Sacramento,Kahului,334
Sacramento,Las Vegas,2513
Sacramento,Long Beach,661
Sacramento,Los Angeles,5574
Sacramento,Minneapolis,541
Sacramento,New York,282
Sacramento,Ontario,2044
Sacramento,Philadelphia,75
Sacramento,Phoenix,3164
Sacramento,Portland,1578
Sacramento,Salt Lake City,1479
Sacramento,San Diego,2791
Sacramento,San Francisco,1624
Sacramento,Santa Ana,2118
Sacramento,Seattle,3424
Sacramento,Washington,237
Saginaw,Atlanta,9
Saginaw,Chicago,1192
Saginaw,Detroit,446
Saginaw,Minneapolis,74
Saint Cloud,Chicago,83
Saint George,Denver,586
Saint George,Salt Lake City,1191
Salt Lake City,Albuquerque,949
Salt Lake City,Anchorage,98
Salt Lake City,Atlanta,2549
Salt Lake City,Austin,588
Salt Lake City,Baltimore,992
Salt Lake City,Bentonville,1
Salt Lake City,Billings,1061
Salt Lake City,Boise,1579
Salt Lake City,Boston,578
Salt Lake City,Bozeman,1066
Salt Lake City,Burbank,828
Salt Lake City,Butte,667
Salt Lake City,Casper,818
Salt Lake City,Cedar City,573
Salt Lake City,Charlotte,617
Salt Lake City,Chicago,3428
Salt Lake City,Cincinnati,522
